Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
11-03-2020,7754.75,7779.1,7596.35,7623.05,36502334,2014.03
12-03-2020,7408.4,7423.95,6868.7,6942.55,52330391,2476.46
13-03-2020,6558.25,7469.7,6242.85,7268,51705471,2392.35
16-03-2020,7075.35,7406.05,6909.65,6959.35,47249630,2159.38
17-03-2020,7014.5,7289.65,6927.05,6979.1,40951602,2090.06
18-03-2020,7135.05,7145.4,6666.85,6705.75,44945057,2100.15
19-03-2020,6489.5,6871.4,6332,6655.5,35700672,1816.28
20-03-2020,6740.25,7088.15,6728.75,6951.9,50098202,2534.08
23-03-2020,6518,6850.55,6380.1,6432.3,33278043,1568.33
24-03-2020,6589.45,6828.3,6532.65,6611.05,34381735,1718.4
25-03-2020,6539.6,6746.3,6538.55,6695.55,30766064,1440.78
26-03-2020,6845.25,6963.25,6743.05,6775,43517854,2192.2
27-03-2020,6924.6,7058.8,6697.95,6813.05,40899569,2100.6
30-03-2020,6708.7,6970.5,6608.8,6896,38187086,1912.74
31-03-2020,7074.2,7224.35,6951.4,7176.5,39022078,2097.7
01-04-2020,7206.2,7208.25,6991.6,7026.7,31879062,1607.57
03-04-2020,7019.85,7452.8,6956.2,7361.6,90108092,4138.97
07-04-2020,7729.25,8159.75,7569.85,8124.85,103930843,5599.35
08-04-2020,8122.9,8564.85,8056.3,8412.2,127307172,6510.05
09-04-2020,8739.5,9032.4,8706.4,8800.45,121942870,7153.61
13-04-2020,9000.25,9229.6,8852,9044.35,121649029,6765.95
15-04-2020,9265.4,9382.15,8889.2,9038.8,115258180,6304.72
16-04-2020,9040.9,9251.05,8989.8,9199.3,74190433,4366.24
17-04-2020,9429.5,9454.1,9066.1,9157.75,70421787,4268.05
20-04-2020,9176.7,9212.55,9004.75,9149.2,61908115,3562.63
21-04-2020,9031.85,9561.35,8999.95,9381.65,125520844,7811.67
22-04-2020,9369.4,9513,9305.75,9377,79245371,5047.75
23-04-2020,9400.15,9580.85,9358.35,9388.9,75985091,4231.63
24-04-2020,9358.4,9638.7,9305.6,9518.45,104409591,6146
27-04-2020,9590.5,9753.5,9557.4,9602.05,75788241,4627.42
28-04-2020,9699.25,9701,9352,9386.2,51486443,3152.36
29-04-2020,9453.3,9498.15,9339.75,9385.45,47209223,2863.35
30-04-2020,9522.55,9556.5,9253.9,9327.1,68640854,4457.98
04-05-2020,9181.6,9507.45,9140.15,9364.6,87107464,5241.59
05-05-2020,9493.7,9503.75,9157.35,9181.5,52022881,3028.66
06-05-2020,9229.85,9289.9,9128.05,9227.15,50166933,3106.34
07-05-2020,9283.2,9373.55,9128.95,9148.1,42005200,2511.44
08-05-2020,9275.9,9385.6,9230.35,9343.35,44253004,3032.56
11-05-2020,9413.25,9416.5,9281.7,9307.3,47289876,2996.47
12-05-2020,9291.1,9368.05,9142.8,9246.65,54851247,3611.59
