Day,Location,TotalConfirmed,Discharged,Deaths,Active
2020-03-10,Delhi,4,0,0,4
2020-03-10,Haryana,14,0,0,14
2020-03-10,Karnataka,1,0,0,1
2020-03-10,Kerala,9,0,0,9
2020-03-10,Maharashtra,2,0,0,2
2020-03-10,Punjab,1,0,0,1
2020-03-10,Rajasthan,2,0,0,2
2020-03-10,Tamil Nadu,1,0,0,1
2020-03-10,Telengana,1,0,0,1
2020-03-10,Jammu and Kashmir,1,0,0,1
2020-03-10,Ladakh,2,0,0,2
2020-03-10,Uttar Pradesh,9,0,0,9
2020-03-11,Delhi,5,0,0,5
2020-03-11,Haryana,14,0,0,14
2020-03-11,Karnataka,4,0,0,4
2020-03-11,Kerala,17,0,0,17
2020-03-11,Maharashtra,2,0,0,2
2020-03-11,Punjab,1,0,0,1
2020-03-11,Rajasthan,3,0,0,3
2020-03-11,Tamil Nadu,1,0,0,1
2020-03-11,Telengana,1,0,0,1
2020-03-11,Jammu and Kashmir,1,0,0,1
2020-03-11,Ladakh,2,0,0,2
2020-03-11,Uttar Pradesh,9,0,0,9
2020-03-12,Delhi,6,0,0,6
2020-03-12,Haryana,14,0,0,14
2020-03-12,Karnataka,4,0,0,4
2020-03-12,Kerala,17,0,0,17
2020-03-12,Maharashtra,11,0,0,11
2020-03-12,Punjab,1,0,0,1
2020-03-12,Rajasthan,3,0,0,3
2020-03-12,Tamil Nadu,1,0,0,1
2020-03-12,Telengana,1,0,0,1
2020-03-12,Jammu and Kashmir,1,0,0,1
2020-03-12,Ladakh,3,0,0,3
2020-03-12,Uttar Pradesh,11,0,0,11
2020-03-13,Andhra Pradesh,1,0,0,1
2020-03-13,Delhi,7,1,1,5
2020-03-13,Haryana,14,0,0,14
2020-03-13,Karnataka,6,0,1,5
2020-03-13,Kerala,19,3,0,16
2020-03-13,Maharashtra,14,0,0,14
2020-03-13,Punjab,1,0,0,1
2020-03-13,Rajasthan,3,1,0,2
2020-03-13,Tamil Nadu,1,0,0,1
2020-03-13,Telengana,1,0,0,1
2020-03-13,Jammu and Kashmir,1,0,0,1
2020-03-13,Ladakh,3,0,0,3
